,County,State,Population,Percent Republican,Latitude,Longitude,March,April,May,June,July,August
0,JEFFERSON,AL,659680.0,0.426097444207115,33.5543,-86.8964,2737.0,1495.0,3887.0,650.0,4138.0,6398.0
1,MORGAN,AL,119213.0,0.7383194966680318,34.4535,-86.8529,278.0,171.0,240.0,91.0,467.0,753.0
2,LAWRENCE,AL,33058.0,0.7686357681991142,34.5217,-87.311,60.0,34.0,86.0,11.0,111.0,134.0
3,CHEROKEE,AL,25903.0,0.8603365580034144,34.1759,-85.6038,30.0,14.0,28.0,,117.0,162.0
4,SHELBY,AL,213432.0,0.6933449325793823,33.2643,-86.6607,817.0,410.0,2048.0,273.0,1375.0,1953.0
5,DALLAS,AL,39149.0,0.30922525750111957,32.326,-87.1065,92.0,64.0,62.0,22.0,98.0,180.0
6,WINSTON,AL,23784.0,0.9034916696207019,34.1492,-87.3737,180.0,22.0,47.0,36.0,147.0,218.0
7,BIBB,AL,22493.0,0.7842626367899947,32.9986,-87.1265,67.0,47.0,73.0,37.0,246.0,269.0
8,TALLADEGA,AL,80387.0,0.623475310545944,33.3801,-86.1659,307.0,236.0,161.0,46.0,391.0,490.0
9,DALE,AL,49277.0,0.724642820954504,31.4318,-85.611,96.0,65.0,90.0,53.0,702.0,832.0
10,LIMESTONE,AL,94727.0,0.7035645374225652,34.8101,-86.9814,207.0,187.0,184.0,53.0,525.0,728.0
11,HOUSTON,AL,104702.0,0.7064301648149351,31.1532,-85.3025,205.0,139.0,222.0,142.0,1170.0,1211.0
12,CULLMAN,AL,82853.0,0.8812214761893383,34.1319,-86.8676,296.0,198.0,233.0,121.0,513.0,752.0
13,MARSHALL,AL,95643.0,0.8369940738872778,34.367,-86.3066,419.0,224.0,157.0,83.0,629.0,931.0
14,BARBOUR,AL,25361.0,0.5345122646891044,31.8696,-85.3932,78.0,70.0,39.0,11.0,145.0,178.0
15,TALLAPOOSA,AL,40541.0,0.7128293077985803,32.8624,-85.7975,132.0,144.0,99.0,69.0,385.0,434.0
16,MONROE,AL,21270.0,0.5762092238470191,31.5709,-87.3655,26.0,49.0,27.0,40.0,198.0,315.0
17,DEKALB,AL,71310.0,0.8436776127537812,34.4598,-85.8041,181.0,97.0,87.0,62.0,447.0,550.0
18,ETOWAH,AL,102748.0,0.7443848474689909,34.0453,-86.0348,383.0,158.0,208.0,156.0,597.0,897.0
19,LAUDERDALE,AL,92556.0,0.7154198335551095,34.9014,-87.654,381.0,230.0,129.0,85.0,638.0,780.0
20,LEE,AL,161152.0,0.590924995451301,32.6011,-85.3555,342.0,392.0,356.0,155.0,844.0,1199.0
21,AUTAUGA,AL,55380.0,0.714368023046453,32.5349,-86.6427,239.0,150.0,222.0,59.0,354.0,620.0
22,TUSCALOOSA,AL,207305.0,0.566883289712993,33.2896,-87.5251,659.0,550.0,420.0,179.0,928.0,1299.0
23,CHAMBERS,AL,33660.0,0.5726903951845067,32.9143,-85.392,59.0,59.0,126.0,51.0,202.0,357.0
24,COLBERT,AL,54771.0,0.688625116545937,34.7005,-87.8049,105.0,111.0,67.0,53.0,284.0,470.0
25,CHILTON,AL,44055.0,0.8329880890730191,32.8479,-86.7188,126.0,205.0,181.0,40.0,267.0,311.0
26,ELMORE,AL,81144.0,0.7351693882524982,32.5966,-86.1492,412.0,197.0,226.0,54.0,522.0,667.0
27,GENEVA,AL,26417.0,0.8647269828616979,31.0951,-85.8391,37.0,39.0,73.0,36.0,276.0,427.0
28,COFFEE,AL,51662.0,0.7586531986531987,31.4027,-85.9882,96.0,96.0,109.0,83.0,552.0,691.0
29,CALHOUN,AL,114618.0,0.6884843967597042,33.7714,-85.826,833.0,237.0,189.0,92.0,561.0,841.0
30,CLARKE,AL,24128.0,0.5575942139322421,31.6767,-87.8308,36.0,53.0,27.0,,170.0,185.0
31,FRANKLIN,AL,31466.0,0.8249324216886628,34.4417,-87.8437,65.0,45.0,42.0,23.0,285.0,282.0
32,BLOUNT,AL,57681.0,0.8957155284906481,33.9809,-86.5674,292.0,144.0,345.0,56.0,422.0,697.0
33,RUSSELL,AL,57952.0,0.46246893900323505,32.2884,-85.1849,129.0,127.0,128.0,41.0,189.0,256.0
34,MADISON,AL,362276.0,0.5277074658438031,34.7631,-86.5502,852.0,944.0,797.0,364.0,1520.0,2122.0
35,MOBILE,AL,414114.0,0.5527450809110961,30.7872,-88.2058,847.0,3209.0,837.0,778.0,6466.0,7904.0
36,COVINGTON,AL,37200.0,0.8368330464716007,31.2485,-86.4513,72.0,54.0,106.0,93.0,359.0,400.0
37,RANDOLPH,AL,22647.0,0.7897942234935867,33.2938,-85.4591,93.0,41.0,63.0,24.0,111.0,136.0
38,PIKE,AL,33333.0,0.5810273824145654,31.8027,-85.9409,83.0,45.0,48.0,22.0,178.0,248.0
39,ST. CLAIR,AL,87989.0,0.8137980693503747,33.7157,-86.3146,410.0,219.0,456.0,73.0,539.0,840.0
40,BALDWIN,AL,212830.0,0.7617137282433283,30.7275,-87.7226,517.0,509.0,621.0,382.0,3063.0,3363.0
41,JACKSON,AL,51852.0,0.8322051108478592,34.7795,-85.9994,138.0,89.0,81.0,171.0,351.0,310.0
42,MONTGOMERY,AL,226941.0,0.3360029857069367,32.2203,-86.2076,927.0,540.0,632.0,127.0,1041.0,1729.0
43,WALKER,AL,64110.0,0.8341995508501765,33.8033,-87.2973,392.0,109.0,103.0,69.0,466.0,587.0
44,ESCAMBIA,AL,37057.0,0.6831552482715273,31.1261,-87.1616,66.0,58.0,42.0,57.0,447.0,692.0
45,MARION,AL,29866.0,0.8839718983124502,34.1366,-87.8871,178.0,48.0,93.0,70.0,174.0,276.0
46,MATANUSKA-SUSITNA,AK,105369.0,,62.3162,-149.5714,1377.0,1287.0,325.0,105.0,357.0,493.0
